person_id,id,name,role,character
590250,tm414746,Jan Suter,Director,Director
152472,tm204541,Husain Reyadh,Actor,Mamdouh's father
120636,tm233196,Ali Scher,Director,Director
590250,tm367105,Jan Suter,Director,Director
14658,tm84618,Jodie Foster,Actor,Iris Steensma
29178,tm44204,James Robertson Justice,Actor,Commodore Jensen / Prologue Narrator
11477,tm70993,Terence Bayler,Actor,Gregory
31566,ts58175,Spike Lee,Director,Director
76402,tm360945,Pitobash,Actor,N/A
45436,tm859256,Nassar,Actor,Judge
1076167,tm464527,Des Lee,Actor,Self
39625,tm101334,Regine Nehy,Actor,Martina
11473,tm70993,Terry Gilliam,Actor,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee
523436,tm185072,Brendan Dillon,Actor,Leading Man (uncredited)
200031,tm1179579,Aslı Enver,Actor,N/A
167501,tm28024,Will Devaughn,Actor,Cris
430849,ts52849,Dave Unwin,Director,Director
2081675,tm96649,Edgar Mcleod,Actor,Photographer
11478,tm70993,Carol Cleveland,Actor,Mrs. Gregory
2235558,tm52352,Born Allah,Actor,Self
550685,tm356209,Maria Menado,Actor,Maria
519618,tm84618,Harlan Cary Poe,Actor,Campaign Worker (uncredited)
2235509,tm52352,Ganjah K,Actor,Self
511225,tm97793,Ijlal Zaki,Actor,Nadya
20123,tm96649,J. Don Ferguson,Actor,Preacher
26766,tm69778,Sumi Shimamoto,Actor,Lady Clarisse de Cagliostro (voice)
26778,tm69778,Shozo Hirabayashi,Actor,Interpol Chief (voice)
70452,tm185072,Stanley Holloway,Actor,Alfred P. Doolittle
195527,tm319139,Supreet,Actor,N/A
482807,tm12876,Priya,Actor,N/A
530826,tm27298,Mahmoud El-Meliguy,Actor,"Conrad, Marquis of Montferrat"
16446,tm119281,Michael J. Pollard,Actor,C. W. Moss
1516234,tm96649,Thomas Myers,Actor,Gallatin Bank Cashier
29175,tm44204,Stanley Baker,Actor,Pvt. 'Butcher' Brown
2235557,tm52352,Keen,Actor,Self
1052743,tm52352,Pigeon John,Actor,Self
11478,tm127384,Carol Cleveland,Actor,Zoot / Dingo
348734,ts37200,Caroline Combes,Actor,Nana
27664,ts37896,Mark Bazeley,Actor,N/A
88997,tm16479,I. Stanford Jolley,Actor,Station Master (uncredited)
